Date,bitcoin_fng_close
2024-04-08,76.0
2024-04-09,80.0
2024-04-10,78.0
2024-04-11,76.0
2024-04-12,79.0
2024-04-13,72.0
2024-04-14,72.0
2024-04-15,74.0
2024-04-16,65.0
2024-04-17,67.0
2024-04-18,57.0
2024-04-19,66.0
2024-04-20,66.0
2024-04-21,72.0
2024-04-22,73.0
2024-04-23,71.0
2024-04-24,72.0
2024-04-25,72.0
2024-04-26,70.0
2024-04-27,67.0
2024-04-28,65.0
2024-04-29,67.0
2024-04-30,67.0
2024-05-01,54.0
2024-05-02,43.0
2024-05-03,48.0
2024-05-04,67.0
2024-05-05,69.0
2024-05-06,71.0
2024-05-07,68.0
2024-05-08,64.0
2024-05-09,55.0
2024-05-10,66.0
2024-05-11,53.0
2024-05-12,56.0
2024-05-13,57.0
2024-05-14,66.0
2024-05-15,64.0
2024-05-16,70.0
2024-05-17,74.0
2024-05-18,73.0
2024-05-19,72.0
2024-05-20,70.0
2024-05-21,76.0
2024-05-22,76.0
2024-05-23,76.0
2024-05-24,74.0
2024-05-25,76.0
2024-05-26,75.0
2024-05-27,74.0
2024-05-28,72.0
2024-05-29,72.0
2024-05-30,73.0
2024-05-31,73.0
2024-06-01,72.0
2024-06-02,73.0
2024-06-03,73.0
2024-06-04,73.0
2024-06-05,75.0
2024-06-06,78.0
2024-06-07,77.0
2024-06-08,72.0
2024-06-09,75.0
2024-06-10,72.0
2024-06-11,74.0
2024-06-12,72.0
2024-06-13,70.0
2024-06-14,74.0
2024-06-15,74.0
2024-06-16,71.0
2024-06-17,71.0
2024-06-18,74.0
2024-06-19,64.0
2024-06-20,60.0
2024-06-21,63.0
2024-06-22,53.0
2024-06-23,55.0
2024-06-24,51.0
2024-06-25,30.0
2024-06-26,46.0
2024-06-27,40.0
2024-06-28,47.0
2024-06-29,30.0
2024-06-30,47.0
2024-07-01,53.0
2024-07-02,51.0
2024-07-03,50.0
2024-07-04,44.0
2024-07-05,29.0
2024-07-06,26.0
2024-07-07,29.0
2024-07-08,28.0
